Word,Frequency Rank,Language of Origin,Language Branch,Origin Language,Modern Eqiuvalent,Branch Language,Modern Equilvalent
the,1,Old English,Germanic,English,the,German,die/der/das
of,2,Old English,Germanic,English,of,German,von
to,3,Old English,Germanic,English,to,German,zu
and,4,Old English,Germanic,English,and,German,und
a,5,Old English,Germanic,English,a,German,ein
in,6,Old English,Germanic,English,in,German,in
is,7,Old English,Germanic,English,is,German,ist
it,8,Old English,Germanic,English,it,German,es
you,9,Old English,Germanic,English,you,German,du/Sie
that,10,Old English,Germanic,English,that,German,dass
he,11,Old English,Germanic,English,he,German,er
was,12,Old English,Germanic,English,was,German,war
for,13,Old English,Germanic,English,for,German,für
on,14,Old English,Germanic,English,on,German,auf
are,15,Old English,Germanic,English,are,German,sind
with,16,Old English,Germanic,English,with,German,mit
as,17,Old English,Germanic,English,as,German,wie
I,18,Old English,Germanic,English,I,German,ich
his,19,Old English,Germanic,English,his,German,seine
they,20,Old English,Germanic,English,they,German,sie
be,21,Old English,Germanic,English,be,German,sein
at,22,Old English,Germanic,English,at,German,beim
one,23,Old English,Germanic,English,one,German,eins
have,24,Old English,Germanic,English,have,German,haben
this,25,Old English,Germanic,English,this,German,diese
from,26,Old English,Germanic,English,from,German,von
or,27,Old English,Germanic,English,or,German,oder
had,28,Old English,Germanic,English,had,German,hätten
by,29,Old English,Germanic,English,by,German,durch
hot,30,Old English,Germanic,English,hot,German,heiß
word,31,Old English,Germanic,English,word,German,wort
but,32,Old English,Germanic,English,but,German,aber
what,33,Old English,Germanic,English,what,German,was
some,34,Old English,Germanic,English,some,German,etwas
we,35,Old English,Germanic,English,we,German,wir
can,36,Old English,Germanic,English,can,German,können
out,37,Old English,Germanic,English,out,German,aus
other,38,Old English,Germanic,English,other,German,andere
were,39,Old English,Germanic,English,were,German,wurden
all,40,Old English,Germanic,English,all,German,alles
there,41,Old English,Germanic,English,there,German,dort
when,42,Old English,Germanic,English,when,German,wann
up,43,Old English,Germanic,English,up,German,oben
use,44,Anglo-French Old French Latin,Italic,French,user,Latin,usus
your,45,Old English,Germanic,English,your,German,deine
how,46,Old English,Germanic,English,how,German,wie
